GfKMapping,Start.Date,PERIOD,YEAR,MONTH,WEEK,QUARTER
13-Aug,4/8/2013,10/8/2013,2013,AUG,32,Q3
(4 weeks),11/8/2013,17/08/2013,2013,AUG,33,Q3
,18/08/2013,24/08/2013,2013,AUG,34,Q3
,25/08/2013,31/08/2013,2013,AUG,35,Q3
13-Sep,1/9/2013,7/9/2013,2013,SEP,36,Q3
(4 weeks),8/9/2013,14/09/2013,2013,SEP,37,Q3
,15/09/2013,21/09/2013,2013,SEP,38,Q3
,22/09/2013,28/09/2013,2013,SEP,39,Q3
13-Oct,29/09/2013,5/10/2013,2013,OCT,40,Q4
(5 weeks),6/10/2013,12/10/2013,2013,OCT,41,Q4
,13/10/2013,19/10/2013,2013,OCT,42,Q4
,20/10/2013,26/10/2013,2013,OCT,43,Q4
,27/10/2013,2/11/2013,2013,OCT,44,Q4
13-Nov,3/11/2013,9/11/2013,2013,NOV,45,Q4
(4 weeks),10/11/2013,16/11/2013,2013,NOV,46,Q4
,17/11/2013,23/11/2013,2013,NOV,47,Q4
,24/11/2013,30/11/2013,2013,NOV,48,Q4
13-Dec,1/12/2013,7/12/2013,2013,DEC,49,Q4
(4 weeks),8/12/2013,14/12/2013,2013,DEC,50,Q4
,15/12/2013,21/12/2013,2013,DEC,51,Q4
,22/12/2013,28/12/2013,2013,DEC,52,Q4
14-Jan,29/12/2013,4/1/2014,2014,JAN,1,Q1
(5 weeks),5/1/2014,11/1/2014,2014,JAN,2,Q1
,12/1/2014,18/01/2014,2014,JAN,3,Q1
,19/01/2014,25/01/2014,2014,JAN,4,Q1
,26/01/2014,1/2/2014,2014,JAN,5,Q1
14-Feb,2/2/2014,8/2/2014,2014,FEB,6,Q1
(4 weeks),9/2/2014,15/02/2014,2014,FEB,7,Q1
,16/02/2014,22/02/2014,2014,FEB,8,Q1
,23/02/2014,1/3/2014,2014,FEB,9,Q1
14-Mar,2/3/2014,8/3/2014,2014,MAR,10,Q1
(4 weeks),9/3/2014,15/03/2014,2014,MAR,11,Q1
,16/03/2014,22/03/2014,2014,MAR,12,Q1
,23/03/2014,29/03/2014,2014,MAR,13,Q1
14-Apr,30/03/2014,5/4/2014,2014,APR,14,Q2
(4 weeks),6/4/2014,12/4/2014,2014,APR,15,Q2
,13/04/2014,19/04/2014,2014,APR,16,Q2
,20/04/2014,26/04/2014,2014,APR,17,Q2
14-May,27/04/2014,3/5/2014,2014,MAY,18,Q2
(5 weeks),4/5/2014,10/5/2014,2014,MAY,19,Q2
,11/5/2014,17/05/2014,2014,MAY,20,Q2
,18/05/2014,24/05/2014,2014,MAY,21,Q2
,25/05/2014,31/05/2014,2014,MAY,22,Q2
14-Jun,1/6/2014,7/6/2014,2014,JUN,23,Q2
(4 weeks),8/6/2014,14/06/2014,2014,JUN,24,Q2
,15/06/2014,21/06/2014,2014,JUN,25,Q2
,22/06/2014,28/06/2014,2014,JUN,26,Q2
14-Jul,29/06/2014,5/7/2014,2014,JUL,27,Q3
(5 weeks),6/7/2014,12/7/2014,2014,JUL,28,Q3
,13/07/2014,19/07/2014,2014,JUL,29,Q3
,20/07/2014,26/07/2014,2014,JUL,30,Q3
,27/07/2014,2/8/2014,2014,JUL,31,Q3
14-Aug,3/8/2014,9/8/2014,2014,AUG,32,Q3
(4 weeks),10/8/2014,16/08/2014,2014,AUG,33,Q3
,17/08/2014,23/08/2014,2014,AUG,34,Q3
,24/08/2014,30/08/2014,2014,AUG,35,Q3
14-Sep,31/08/2014,6/9/2014,2014,SEP,36,Q3
(4 weeks),7/9/2014,13/09/2014,2014,SEP,37,Q3
,14/09/2014,20/09/2014,2014,SEP,38,Q3
,21/09/2014,27/09/2014,2014,SEP,39,Q3
14-Oct,28/09/2014,4/10/2014,2014,OCT,40,Q4
(5 weeks),5/10/2014,11/10/2014,2014,OCT,41,Q4
,12/10/2014,18/10/2014,2014,OCT,42,Q4
,19/10/2014,25/10/2014,2014,OCT,43,Q4
,26/10/2014,1/11/2014,2014,OCT,44,Q4
14-Nov,2/11/2014,8/11/2014,2014,NOV,45,Q4
(4 weeks),9/11/2014,15/11/2014,2014,NOV,46,Q4
,16/11/2014,22/11/2014,2014,NOV,47,Q4
,23/11/2014,29/11/2014,2014,NOV,48,Q4
14-Dec,30/11/2014,6/12/2014,2014,DEC,49,Q4
(4 weeks),7/12/2014,13/12/2014,2014,DEC,50,Q4
,14/12/2014,20/12/2014,2014,DEC,51,Q4
,21/12/2014,27/12/2014,2014,DEC,52,Q4
15-Jan,28/12/2014,3/1/2015,2015,JAN,1,Q1
(5 weeks),4/1/2015,10/1/2015,2015,JAN,2,Q1
,11/1/2015,17/01/2015,2015,JAN,3,Q1
,18/01/2015,24/01/2015,2015,JAN,4,Q1
,25/01/2015,31/01/2015,2015,JAN,5,Q1
15-Feb,1/2/2015,7/2/2015,2015,FEB,6,Q1
(4 weeks),8/2/2015,14/02/2015,2015,FEB,7,Q1
,15/02/2015,21/02/2015,2015,FEB,8,Q1
,22/02/2015,28/02/2015,2015,FEB,9,Q1
15-Mar,1/3/2015,7/3/2015,2015,MAR,10,Q1
(4 weeks),8/3/2015,14/03/2015,2015,MAR,11,Q1
,15/03/2015,21/03/2015,2015,MAR,12,Q1
,22/03/2015,28/03/2015,2015,MAR,13,Q1
15-Apr,29/03/2015,4/4/2015,2015,APR,14,Q2
(4 weeks),5/4/2015,11/4/2015,2015,APR,15,Q2
,12/4/2015,18/04/2015,2015,APR,16,Q2
,19/04/2015,25/04/2015,2015,APR,17,Q2
15-May,26/04/2015,2/5/2015,2015,MAY,18,Q2
(5 weeks),3/5/2015,9/5/2015,2015,MAY,19,Q2
,10/5/2015,16/05/2015,2015,MAY,20,Q2
,17/05/2015,23/05/2015,2015,MAY,21,Q2
,24/05/2015,30/05/2015,2015,MAY,22,Q2
15-Jun,31/05/2015,6/6/2015,2015,JUN,23,Q2
(4 weeks),7/6/2015,13/06/2015,2015,JUN,24,Q2
,14/06/2015,20/06/2015,2015,JUN,25,Q2
,21/06/2015,27/06/2015,2015,JUN,26,Q2
15-Jul,28/06/2015,4/7/2015,2015,JUL,27,Q3
(5 weeks),5/7/2015,11/7/2015,2015,JUL,28,Q3
,12/7/2015,18/07/2015,2015,JUL,29,Q3
,19/07/2015,25/07/2015,2015,JUL,30,Q3
,26/07/2015,1/8/2015,2015,JUL,31,Q3
15-Aug,2/8/2015,8/8/2015,2015,AUG,32,Q3
(4 weeks),9/8/2015,15/08/2015,2015,AUG,33,Q3
,16/08/2015,22/08/2015,2015,AUG,34,Q3
,23/08/2015,29/08/2015,2015,AUG,35,Q3
15-Sep,30/08/2015,5/9/2015,2015,SEP,36,Q3
(4 weeks),6/9/2015,12/9/2015,2015,SEP,37,Q3
,13/09/2015,19/09/2015,2015,SEP,38,Q3
,20/09/2015,26/09/2015,2015,SEP,39,Q3
15-Oct,27/09/2015,3/10/2015,2015,OCT,40,Q4
(5 weeks),4/10/2015,10/10/2015,2015,OCT,41,Q4
,11/10/2015,17/10/2015,2015,OCT,42,Q4
,18/10/2015,24/10/2015,2015,OCT,43,Q4
,25/10/2015,31/10/2015,2015,OCT,44,Q4
15-Nov,1/11/2015,7/11/2015,2015,NOV,45,Q4
(4 weeks),8/11/2015,14/11/2015,2015,NOV,46,Q4
,15/11/2015,21/11/2015,2015,NOV,47,Q4
,22/11/2015,28/11/2015,2015,NOV,48,Q4
15-Dec,29/11/2015,5/12/2015,2015,DEC,49,Q4
(5 weeks),6/12/2015,12/12/2015,2015,DEC,50,Q4
,13/12/2015,19/12/2015,2015,DEC,51,Q4
,20/12/2015,26/12/2015,2015,DEC,52,Q4
,27/12/2015,2/1/2016,2015,DEC,53,Q4
16-Jan,3/1/2016,9/1/2016,2016,JAN,1,Q1
(5 weeks),10/1/2016,16/01/2016,2016,JAN,2,Q1
,17/01/2016,23/01/2016,2016,JAN,3,Q1
,24/01/2016,30/01/2016,2016,JAN,4,Q1
,31/01/2016,6/2/2016,2016,JAN,5,Q1
16-Feb,7/2/2016,13/02/2016,2016,FEB,6,Q1
(4 weeks),14/02/2016,20/02/2016,2016,FEB,7,Q1
,21/02/2016,27/02/2016,2016,FEB,8,Q1
,28/02/2016,5/3/2016,2016,FEB,9,Q1
16-Mar,6/3/2016,12/3/2016,2016,MAR,10,Q1
(4 weeks),13/03/2016,19/03/2016,2016,MAR,11,Q1
,20/03/2016,26/03/2016,2016,MAR,12,Q1
,27/03/2016,2/4/2016,2016,MAR,13,Q1
16-Apr,3/4/2016,9/4/2016,2016,APR,14,Q2
(4 weeks),10/4/2016,16/04/2016,2016,APR,15,Q2
,17/04/2016,23/04/2016,2016,APR,16,Q2
,24/04/2016,30/04/2016,2016,APR,17,Q2
16-May,1/5/2016,7/5/2016,2016,MAY,18,Q2
(5 weeks),8/5/2016,14/05/2016,2016,MAY,19,Q2
,15/05/2016,21/05/2016,2016,MAY,20,Q2
,22/05/2016,28/05/2016,2016,MAY,21,Q2
,29/05/2016,4/6/2016,2016,MAY,22,Q2
16-Jun,5/6/2016,11/6/2016,2016,JUN,23,Q2
(4 weeks),12/6/2016,18/06/2016,2016,JUN,24,Q2
,19/06/2016,25/06/2016,2016,JUN,25,Q2
,26/06/2016,2/7/2016,2016,JUN,26,Q2
16-Jul,3/7/2016,9/7/2016,2016,JUL,27,Q3
(5 weeks),10/7/2016,16/07/2016,2016,JUL,28,Q3
,17/07/2016,23/07/2016,2016,JUL,29,Q3
,24/07/2016,30/07/2016,2016,JUL,30,Q3
,31/07/2016,6/8/2016,2016,JUL,31,Q3
16-Aug,7/8/2016,13/08/2016,2016,AUG,32,Q3
(4 weeks),14/08/2016,20/08/2016,2016,AUG,33,Q3
,21/08/2016,27/08/2016,2016,AUG,34,Q3
,28/08/2016,3/9/2016,2016,AUG,35,Q3
16-Sep,4/9/2016,10/9/2016,2016,SEP,36,Q3
(4 weeks),11/9/2016,17/09/2016,2016,SEP,37,Q3
,18/09/2016,24/09/2016,2016,SEP,38,Q3
,25/09/2016,1/10/2016,2016,SEP,39,Q3
16-Oct,2/10/2016,8/10/2016,2016,OCT,40,Q4
(5 weeks),9/10/2016,15/10/2016,2016,OCT,41,Q4
,16/10/2016,22/10/2016,2016,OCT,42,Q4
,23/10/2016,29/10/2016,2016,OCT,43,Q4
,30/10/2016,5/11/2016,2016,OCT,44,Q4
16-Nov,6/11/2016,12/11/2016,2016,NOV,45,Q4
(4 weeks),13/11/2016,19/11/2016,2016,NOV,46,Q4
,20/11/2016,26/11/2016,2016,NOV,47,Q4
,27/11/2016,3/12/2016,2016,NOV,48,Q4
16-Dec,4/12/2016,10/12/2016,2016,DEC,49,Q4
(4 weeks),11/12/2016,17/12/2016,2016,DEC,50,Q4
,18/12/2016,24/12/2016,2016,DEC,51,Q4
,25/12/2016,31/12/2016,2016,DEC,52,Q4
17-Jan,1/1/2017,7/1/2017,2017,JAN,1,Q1
(5 weeks),8/1/2017,14/01/2017,2017,JAN,2,Q1
,15/01/2017,21/01/2017,2017,JAN,3,Q1
,22/01/2017,28/01/2017,2017,JAN,4,Q1
,29/01/2017,4/2/2017,2017,JAN,5,Q1
17-Feb,5/2/2017,11/2/2017,2017,FEB,6,Q1
(4 weeks),12/2/2017,18/02/2017,2017,FEB,7,Q1
,19/02/2017,25/02/2017,2017,FEB,8,Q1
,26/02/2017,4/3/2017,2017,FEB,9,Q1
17-Mar,5/3/2017,11/3/2017,2017,MAR,10,Q1
(4 weeks),12/3/2017,18/03/2017,2017,MAR,11,Q1
,19/03/2017,25/03/2017,2017,MAR,12,Q1
,26/03/2017,1/4/2017,2017,MAR,13,Q1
17-Apr,2/4/2017,8/4/2017,2017,APR,14,Q2
(4 weeks),9/4/2017,15/04/2017,2017,APR,15,Q2
,16/04/2017,22/04/2017,2017,APR,16,Q2
,23/04/2017,29/04/2017,2017,APR,17,Q2
17-May,30/04/2017,6/5/2017,2017,MAY,18,Q2
(5 weeks),7/5/2017,13/05/2017,2017,MAY,19,Q2
,14/05/2017,20/05/2017,2017,MAY,20,Q2
,21/05/2017,27/05/2017,2017,MAY,21,Q2
,28/05/2017,3/6/2017,2017,MAY,22,Q2
17-Jun,4/6/2017,10/6/2017,2017,JUN,23,Q2
(4 weeks),11/6/2017,17/06/2017,2017,JUN,24,Q2
,18/06/2017,24/06/2017,2017,JUN,25,Q2
,25/06/2017,1/7/2017,2017,JUN,26,Q2
17-Jul,2/7/2017,8/7/2017,2017,JUL,27,Q3
(5 weeks),9/7/2017,15/07/2017,2017,JUL,28,Q3
,16/07/2017,22/07/2017,2017,JUL,29,Q3
,23/07/2017,29/07/2017,2017,JUL,30,Q3
,30/07/2017,5/8/2017,2017,JUL,31,Q3
17-Aug,6/8/2017,12/8/2017,2017,AUG,32,Q3
(4 weeks),13/08/2017,19/08/2017,2017,AUG,33,Q3
,20/08/2017,26/08/2017,2017,AUG,34,Q3
,27/08/2017,2/9/2017,2017,AUG,35,Q3
17-Sep,3/9/2017,9/9/2017,2017,SEP,36,Q3
(4 weeks),10/9/2017,16/09/2017,2017,SEP,37,Q3
,17/09/2017,23/09/2017,2017,SEP,38,Q3
,24/09/2017,30/09/2017,2017,SEP,39,Q3
17-Oct,1/10/2017,7/10/2017,2017,OCT,40,Q4
(5 weeks),8/10/2017,14/10/2017,2017,OCT,41,Q4
,15/10/2017,21/10/2017,2017,OCT,42,Q4
,22/10/2017,28/10/2017,2017,OCT,43,Q4
,29/10/2017,4/11/2017,2017,OCT,44,Q4
17-Nov,5/11/2017,11/11/2017,2017,NOV,45,Q4
(4 weeks),12/11/2017,18/11/2017,2017,NOV,46,Q4
,19/11/2017,25/11/2017,2017,NOV,47,Q4
,26/11/2017,2/12/2017,2017,NOV,48,Q4
17-Dec,3/12/2017,9/12/2017,2017,DEC,49,Q4
(4 weeks),10/12/2017,16/12/2017,2017,DEC,50,Q4
,17/12/2017,23/12/2017,2017,DEC,51,Q4
,24/12/2017,30/12/2017,2017,DEC,52,Q4
18-Jan,31/12/2017,6/1/2018,2018,JAN,1,Q1
(5 weeks),7/1/2018,13/01/2018,2018,JAN,2,Q1
,14/01/2018,20/01/2018,2018,JAN,3,Q1
,21/01/2018,27/01/2018,2018,JAN,4,Q1
,28/01/2018,3/2/2018,2018,JAN,5,Q1
18-Feb,4/2/2018,10/2/2018,2018,FEB,6,Q1
(4 weeks),11/2/2018,17/02/2018,2018,FEB,7,Q1
,18/02/2018,24/02/2018,2018,FEB,8,Q1
,25/02/2018,3/3/2018,2018,FEB,9,Q1
18-Mar,4/3/2018,10/3/2018,2018,MAR,10,Q1
(4 weeks),11/3/2018,17/03/2018,2018,MAR,11,Q1
,18/03/2018,24/03/2018,2018,MAR,12,Q1
,25/03/2018,31/03/2018,2018,MAR,13,Q1
18-Apr,1/4/2018,7/4/2018,2018,APR,14,Q2
(4 weeks),8/4/2018,14/04/2018,2018,APR,15,Q2
,15/04/2018,21/04/2018,2018,APR,16,Q2
,22/04/2018,28/04/2018,2018,APR,17,Q2
18-May,29/04/2018,5/5/2018,2018,MAY,18,Q2
(5 weeks),6/5/2018,12/5/2018,2018,MAY,19,Q2
,13/05/2018,19/05/2018,2018,MAY,20,Q2
,20/05/2018,26/05/2018,2018,MAY,21,Q2
,27/05/2018,2/6/2018,2018,MAY,22,Q2
18-Jun,3/6/2018,9/6/2018,2018,JUN,23,Q2
(4 weeks),10/6/2018,16/06/2018,2018,JUN,24,Q2
,17/06/2018,23/06/2018,2018,JUN,25,Q2
,24/06/2018,30/06/2018,2018,JUN,26,Q2
18-Jul,1/7/2018,7/7/2018,2018,JUL,27,Q3
(5 weeks),8/7/2018,14/07/2018,2018,JUL,28,Q3
,15/07/2018,21/07/2018,2018,JUL,29,Q3
,22/07/2018,28/07/2018,2018,JUL,30,Q3
